Title	URL	GeneratedTags
对高溢价基金的建议	https://www.jisilu.cn/question/508724	高溢价基金,申购限额,备付金,净值跟踪,补券成本,份额集中,跨境ETF
四大消息，下周这个方向稳了！	http://caifuhao.eastmoney.com/news/20250420072021978069030	中美会谈,股市稳定,国产替代,自主可控,科技股,5G,业绩窗口
为何继续看多？	http://caifuhao.eastmoney.com/news/20250420133907864886730	维稳股市,关税博弈,国家队,3300点,避雷,大金融,科技板块
比亚迪在日本推出海狮07，对抗特斯拉Model Y	https://cn.nikkei.com/china/ccompany/58577-2025-04-15-14-33-29.html	比亚迪,海狮07,特斯拉,日本市场,电动汽车,快速充电,供应商,销量增长
投资与人生的可预见性	https://www.jisilu.cn/question/508733	投资预见性,粤高速,招商银行,风险控制,人生感悟,行业周期,乐观心态
退休前创业，寻找大家都能用得上的行业	https://www.jisilu.cn/question/508723	退休创业,光合作用,私募,公益,情感套利,认知差价,成本套利
对集友提出的低价转债质疑结果的记录	https://www.jisilu.cn/question/508722	维尔转债,转债下修,亏损预警,退市风险,环保行业,溢价率高
日本连续4年贸易逆差，对华进出口双创新高	https://cn.nikkei.com/politicsaeconomy/investtrade/58601-2025-04-17-13-22-53.html	贸易逆差,对华进出口,特朗普关税,日美关税,Temu,SHEIN,丰田,本田,多边贸易,日本半导体
尹锡悦涉嫌发动内乱案第二次庭审21日举行 媒体获准拍摄	https://m.21jingji.com/article/20250420/herald/a59ca486d310e8b5fce699b205aa8e34.html	尹锡悦,内乱案,二次庭审,首尔,韩国前总统
25吨锑香港落网敲响警钟，国产X光设备商迎来发展契机	http://caifuhao.eastmoney.com/news/20250419203957081194920	锑走私案,出口管制,X光检测,海关升级,日联科技,美亚光电,战略资源
TCL小蓝翼C7新风空调 为改善睡眠质量而来	http://www.news.cn/fortune/2024-12/23/c_1212408502.htm	新风空调,改善睡眠,TCL,小蓝翼C7,智能控制,低噪音,节能
美联储加息75个基点 美股收盘大涨	https://cn.investing.com/news/stock-market-news/article-2649975	美联储加息,加息75基点,美股大涨,控制通胀,鲍威尔,美国股市
丰田已确保生产雷克萨斯的上海工厂用地	https://cn.nikkei.com/industry/icar/58609-2025-04-18-10-13-37.html	雷克萨斯,丰田,上海工厂,中美贸易战,EV,本地生产,欧盟加税
人形机器人半程马拉松结束，机器人发挥很差劲，但这是人类历史上首次“人机共跑”	http://caifuhao.eastmoney.com/news/20250419163142462181450	人形机器人,人机共跑,机器人马拉松,机器人ETF,祛魅,技术进步,产业爆发
A股：三大消息来袭，不出意外的话，明天（周一）会是站上3300！	http://caifuhao.eastmoney.com/news/20250420124422722333280	A股,站上3300,人形机器人,国产芯片,寒武纪,国产替代,业绩暴增
亚洲人才争夺战(中)日企被中韩挖角	https://cn.nikkei.com/career/humanresource/56741-2024-10-01-08-01-01.html	人才争夺战,日企被挖角,印尼市场,中国企业,电动汽车,薪资上涨,人才外流
云闪付与微信支付签署战略合作协议	https://cn.investing.com/news/stock-market-news/article-2649695	云闪付,微信支付,战略合作,支付场景,金融科技
广交会在美国关税逆风中开幕	https://cn.nikkei.com/china/ceconomy/58579-2025-04-16-09-32-55.html	广交会,美国关税,中美贸易,出口管制,贸易逆差,中国经济
估值参考目标仓位2025.4.18	http://caifuhao.eastmoney.com/news/20250419222434023822220	股债平衡,目标仓位,动态调整,积极配置,估值水平,仓位调整,高抛低吸
付鹏说·第五季：外汇交易市场的底层逻辑——跑马游戏	https://wallstreetcn.com/premium/articles/3745528?layout=wscn-layout	外汇交易,汇率,OIS,央行政策,加元贬值,澳元降息,美元强势
炒股日记#复盘记录#投资干货#周末杂谈#投资随笔#	http://caifuhao.eastmoney.com/news/20250420054356419438650	盯盘精灵,抓首板,极速拉升,接近涨停,打开涨停,无脑操作,熟能生巧
炒股第一步，先开个股票账户	http://caifuhao.eastmoney.com/news/20250420120745408389430	股票账户,美债到期,川普,关税影响,贸易博弈
国产AI芯片龙头寒武纪一季度业绩大幅增长	https://www.gelonghui.com/p/2066556	寒武纪,AI芯片,业绩增长,国产替代,陈天石
美国10年期国债收益率创新高	https://cn.investing.com/news/stock-market-news/article-93CH-2650277	美债收益率,美联储加息,通胀担忧,货币政策,企业税率
鲍威尔讲话后，美股遭重创，科技股领跌，芯片股普跌	https://wallstreetcn.com/articles/3745316	美股下跌,科技股跌,鲍威尔讲话,滞胀担忧,芯片股跌,美元下跌,原油反弹,黄金新高
美2名宇航员结束超9个月太空“意外加班”返回地球	https://www.yicai.com/image/102516483.html	宇航员,太空返回,星际客机,意外加班
今日历 - 关于今天的一切！	https://icalendar.today/	鄂ICP备案
本田计划9成在美销量实现本地生产	https://cn.nikkei.com/industry/icar/58585-2025-04-18-09-43-43.html	本田增产,美国制造,本地生产,CR-V,思域,HR-V
美国10年期国债收益率再创新高	https://cn.investing.com/news/stock-market-news/article-93CH-2650275	美债收益率,通胀预期,美联储加息,国债发行,股市下跌
美联储加息75个基点，美股大跌	https://cn.investing.com/news/stock-market-news/article-2649916	美联储加息,加息75基点,美股大跌,抑制通胀,鲍威尔讲话
特朗普亲自参与美日贸易谈判，日本考虑放宽汽车监管和扩大农产品进口作为筹码	https://wallstreetcn.com/articles/3745536	美日贸易谈判,特朗普,农产品进口,汽车监管,非关税壁垒,对等关税
“百万英才汇南粤”武汉站开启，超1.6万个优质岗位虚位以待	https://m.21jingji.com/timeline/0108a5bf1290dc8c226fc2d62c1efb5c.html	百万英才,南粤招聘,武汉站,优质岗位,招聘会,广东发展
30年罕见重视！股市稳定新信号	http://caifuhao.eastmoney.com/news/20250419184851121411640	稳定股市,慢牛行情,沪深300ETF,国家队护盘,政策利好
特朗普政府考虑成立工作组应对供应链危机	https://www.gelonghui.com/p/2065911	供应链危机,特朗普政府,加征关税,对华关税,工作组
智能网联车企不得进行夸大和虚假宣传	http://www.eeo.com.cn/2025/0417/722153.shtml	智能网联汽车,虚假宣传,智驾安全,辅助驾驶,功能边界,沃尔沃,汽车安全
75%美研究人员称“正在考虑离开美国”	https://cn.nikkei.com/industry/scienceatechnology/58433-2025-03-31-10-53-46.html	人才流失,美国科研,特朗普政府,中美科技战,科研限制,AI研究
日企IT开发工资低，难再吸引亚洲人才？	https://cn.nikkei.com/industry/itelectric-appliance/53063-2023-07-27-14-41-42.html	日企IT,亚洲人才,工资低,人才争夺,越南人才,日企招聘
高层定调，将“稳股市”置于“稳楼市”之前，意味着什么？	http://caifuhao.eastmoney.com/news/20250419205817927881440	稳股市,稳楼市,高层定调,股市风险,楼市风险,经济升级,正向反射
人形机器人现身公园City Walk遭围观	https://www.yicai.com/image/102514906.html	人形机器人,世纪公园,CityWalk,户外春游,上海
暂别平台一段时间	http://caifuhao.eastmoney.com/news/20250419224745667467990	困境反转,ST板块,抄底时机,盈利模式,情绪冲击,石家庄
马斯克在华盛顿的影响力受到质疑，DOGE面临挫折	https://wallstreetcn.com/articles/3745520	马斯克,DOGE,影响力下降,特朗普政府,政策受阻,权力受限,贝森特,国税局,关税政策
外骨骼等智能装备亮相，探路者开启户外行业“赛博”时代	http://www.news.cn/fortune/2024-12/30/c_1212408528.htm	外骨骼,智能装备,探路者,户外赛博,智能滑雪,首发经济
特朗普政府豁免关税引发美股反弹，降息预期推动美债价格上行	https://wallstreetcn.com/articles/3745120	豁免关税,美股反弹,降息预期,美债价格,芯片股,原油价格,中概股
苏州日本母子遇袭案凶犯被执行死刑	https://cn.nikkei.com/politicsaeconomy/politicsasociety/58606-2025-04-18-08-44-19.html	苏州遇袭案,执行死刑,日方回应,在华日本人
新中餐全球突围的广东样本：用生态整合破解关税困局	https://m.21jingji.com/article/20250420/herald/3c37bd9e9d4ba6454336781a38a0cc1e.html	预制菜出海,广东预制菜,关税困局,新中餐,供应链出海,东南亚
关税问题的解决之道——中美贸易逆差的减少与能源贸易	https://www.gelonghui.com/p/2066116	关税问题,中美贸易,贸易逆差,能源贸易,避险优先,黄金避险
人形机器人，全球首“跑”！	https://www.yicai.com/image/102579326.html	人形机器人,人机共跑,北京亦庄,半程马拉松,科技运动
为等同行人上车竟阻挡列车车门关闭？一旅客被行政拘留	https://m.21jingji.com/article/20250420/herald/ba764e2b2f92cff84f310e434fb02408.html	阻挡车门,行政拘留,妨碍交通,深圳北站,列车延误
付鹏说来评：汇率贬值是否意味着股市也要受创？	https://wallstreetcn.com/premium/articles/3745470?layout=wscn-layout	汇率贬值,股市受创,资本流动,付鹏说,市场波动
A股的冲击触底，资金已经选择新主线！	http://caifuhao.eastmoney.com/news/20250416162055141573720	A股,机构资金,出口转内需,AI科技,机构库存,做多窗口,汽车豁免
日美关税谈判开启:美打安保牌，日找突破口	https://cn.nikkei.com/politicsaeconomy/investtrade/58610-2025-04-18-10-12-17.html	日美关税谈判,驻日美军,贸易逆差,对华贸易,特朗普,汇率筹码,全球贸易量,中美对立
中装建设转债议案分析	https://www.jisilu.cn/question/508729	中装建设,可转债,预重整,不许转股,不许卖出,避免被割
美国债券利率上涨，美元指数触及16个月新高	https://cn.investing.com/news/stock-market-news/article-2650182	美债利率,美元指数,16个月新高,美债收益率,美国经济
价值投资之懒惰的投资者	http://caifuhao.eastmoney.com/news/20250419182523711811390	价值投资,懒人投资,长期持有,买入持有,能力圈,分红收入,巴菲特
云闪付与微信支付、支付宝争夺中国支付市场份额	https://cn.investing.com/news/economic-indicators/article-2649854	云闪付,支付市场,微信支付,支付宝,市场份额
中国驻日大使: 与日本一道维护多边贸易	https://cn.nikkei.com/columnviewpoint/viewpoint/58614-2025-04-19-07-11-29.html	多边贸易,中日合作,特朗普关税,WTO规则,开放经济
头脑发热，想做空黄金，求拍醒	https://www.jisilu.cn/question/508728	黄金价格,做空黄金,美债稳定,中期选举,阶段性顶部
关税政策叠加负面因素冲击美旅游业 3月赴美游客锐减近12%	https://m.21jingji.com/timeline/d51a6dac54223e807c8bb9895b4995c6.html	赴美游客锐减,关税政策,美旅游业,贸易顺差,负面言论,边境政策
